NS,ND,NF,Entropy,LA,LD,LT,Fix,NDEV,AGE,NUC,EXP,REXP,SEXP,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc,bug,commit_date
1,1,1,0.0,0,0,5,1,3,3.0,1,286,239.1309972393965,278,779,1,0,0,0,1,4,5,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,531,1,3,0,3,1,5,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,3,1,3,3.0,1,286,239.1309972393965,278,495,2,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,9,1,3,3.0,1,286,239.1309972393965,278,1073,3,1,0,1,2,10,9,0,2,2,10,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11,1,0,False,0,2013-03-12 13:35:30+01:00
1,1,1,0.0,0,0,7,0,3,1.0,1,169,158.90854939211275,172,901,3,0,0,0,1,7,7,0,1,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,29,0,3,1.0,1,169,158.90854939211275,172,713,3,0,0,0,5,15,29,0,7,2,15,0,0,0,2,0,1,5,4,8,0,4,0,0,0,29,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,6,0,3,1.0,1,169,158.90854939211275,172,1047,2,0,0,0,3,3,6,0,0,1,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,12,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1089,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,False,1,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,6,0,3,1.0,1,169,158.90854939211275,172,1067,3,1,0,1,1,8,6,0,0,1,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,10,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,8,0,3,1.0,1,169,158.90854939211275,172,687,5,0,0,0,1,5,8,0,2,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,6,0,3,1.0,1,169,158.90854939211275,172,979,3,1,0,1,1,8,6,0,0,1,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,10,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1025,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,False,1,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,6,0,3,1.0,1,169,158.90854939211275,172,1005,2,0,0,0,3,3,6,0,0,1,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,12,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,545,2,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,503,2,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,451,1,3,0,3,1,5,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,5,0,3,1.0,1,169,158.90854939211275,172,605,1,0,0,0,1,4,5,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,6,0,3,1.0,1,169,158.90854939211275,172,1519,2,1,1,0,1,4,6,0,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,False,1,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,5,0,3,1.0,1,169,158.90854939211275,172,195,2,1,1,0,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,9,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,5,0,3,1.0,1,169,158.90854939211275,172,1535,2,2,2,0,1,4,5,0,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1125,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,False,0,2012-12-11 17:48:53+01:00
1,1,1,0.0,0,0,3,0,3,1.0,1,169,158.90854939211275,172,1171,2,1,0,1,1,3,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,False,0,2012-12-11 17:48:53+01:00
